receiver_code,receiver_name,sender_code,sender_name,matrix_year,sender_inflow_m,total_bilateral_inflow_m,sender_share_inflow,receiver_direct_exposure,receiver_remittance_accounted_exposure,receiver_remittance_pct_gdp,receiver_remittance_pct_gdp_year,receiver_personal_remittances_2024_usd,sender_direct_exposure,sender_direct_exposure_percentile,source_note
TJK,Tajikistan,RUS,Russian Federation,2021,2307.0,2922.0,0.7895277207392197,0.2216,0.3001030086498684,47.8852,2024,6801890973.46099,0.2982,75.177304964539,KNOMAD WB.KNOMAD.BRE 2021 bilateral matrix; World Bank WDI BX.TRF.PWKR.CD.DT and BX.TRF.PWKR.DT.GD.ZS for 2024 remittance totals/shares where available.
TJK,Tajikistan,DEU,Germany,2021,191.0,2922.0,0.06536618754277893,0.2216,0.3001030086498684,47.8852,2024,6801890973.46099,0.333,95.74468085106383,KNOMAD WB.KNOMAD.BRE 2021 bilateral matrix; World Bank WDI BX.TRF.PWKR.CD.DT and BX.TRF.PWKR.DT.GD.ZS for 2024 remittance totals/shares where available.
MEX,Mexico,USA,United States,2021,52595.0,54130.0,0.9716423425087751,0.2638,0.3219790750949862,3.6436,2024,67637913797.0,0.3225,92.19858156028369,KNOMAD WB.KNOMAD.BRE 2021 bilateral matrix; World Bank WDI BX.TRF.PWKR.CD.DT and BX.TRF.PWKR.DT.GD.ZS for 2024 remittance totals/shares where available.
HND,Honduras,USA,United States,2021,5933.0,7199.0,0.8241422419780525,0.2314,0.316664363584879,25.6991,2024,9532724045.27075,0.3225,92.19858156028369,KNOMAD WB.KNOMAD.BRE 2021 bilateral matrix; World Bank WDI BX.TRF.PWKR.CD.DT and BX.TRF.PWKR.DT.GD.ZS for 2024 remittance totals/shares where available.
GTM,Guatemala,USA,United States,2021,14078.0,15394.0,0.9145121475899701,0.2337,0.3187144401239043,19.1207,2024,21644521520.0,0.3225,92.19858156028369,KNOMAD WB.KNOMAD.BRE 2021 bilateral matrix; World Bank WDI BX.TRF.PWKR.CD.DT and BX.TRF.PWKR.DT.GD.ZS for 2024 remittance totals/shares where available.
SLV,El Salvador,USA,United States,2021,6711.0,7487.0,0.8963536797114999,0.2511,0.3194638271434489,24.0023,2024,8488402967.26914,0.3225,92.19858156028369,KNOMAD WB.KNOMAD.BRE 2021 bilateral matrix; World Bank WDI BX.TRF.PWKR.CD.DT and BX.TRF.PWKR.DT.GD.ZS for 2024 remittance totals/shares where available.
